,Unnamed: 0,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean,Close,price dir,movement,month
120,120,2019-01-06,13,2,56.5,32.0,2,3.4028612767084927,2,3.9951190928601816,8.897980369568675,2,0.0,0.0333333333333333,3.82392120390564,3798.61,5.146,1.0,1.0
121,121,2019-01-06,15,1,36.0,23.0,1,3.1354942159291497,1,3.58351893845611,8.719013154385259,1,2.4522224496708542,0.5,2.3573866173492584,3806.82,1.966,1.0,1.0
122,122,2019-01-06,17,4,29.25,11.75,4,1.872771898383719,4,2.7065394728435805,5.8293113712273,4,0.671191284174851,0.394047619047619,-0.3781961087072343,4007.11,43.26,1.0,1.0
123,123,2019-01-06,18,4,26114.75,2137.75,4,5.057717095408693,4,7.345674096875018,13.403391192283712,4,1.8567020805284429,0.3126893939393939,1.3870059578509089,3989.09,38.096,1.0,1.0
124,124,2019-01-06,19,3,15522.666666666666,1653.0,3,4.799338134810694,3,6.156791062220116,12.622795863697476,3,0.5127896194512573,0.1799999999999999,-0.4906755671124219,4002.46,40.222,1.0,1.0
125,125,2019-01-06,21,4,18.25,4.75,4,0.95166562244258,4,2.712091435315549,4.913757057758129,4,-0.0825646273248511,0.15,0.3160176468666463,3967.49,30.82,1.0,1.0
126,126,2019-01-06,22,4,16.75,2.5,4,0.6212266624470001,4,2.5997897321326104,4.22101639457961,4,-0.3451156009159651,0.4499999999999999,0.0,3970.36,-7.35,0.0,1.0
127,127,2019-01-06,23,3,184.33333333333331,72.66666666666667,3,3.1246062803228853,3,4.646197178237985,8.770803458560872,3,0.3938021756443133,0.3515151515151515,2.056871881324445,3987.6,-0.298,0.0,1.0
128,128,2019-01-07,0,2,211.0,92.0,2,4.5217885770490405,2,5.351858133476067,9.873646710525108,2,0.0,0.0,0.0,4008.05,1.118,1.0,1.0
129,129,2019-01-07,1,7,3217.714285714286,246.8571428571429,7,3.952443920541957,7,5.405601643950293,9.500902707349391,7,1.8163071395287824,0.3220779220779221,1.58995278950477,3984.28,1.424,1.0,1.0
130,130,2019-01-07,2,4,8858.75,482.25,4,1.8910596187926227,4,3.194453653315859,5.085513272108482,4,-0.0575646273248511,0.3,0.0,3987.2,3.942,1.0,1.0
131,131,2019-01-07,3,5,4812.2,196.8,5,4.076628505452443,5,6.181802690385662,10.258431195838105,5,3.165236155474765,0.254,2.2280581937063606,3992.26,4.38,1.0,1.0
132,132,2019-01-07,4,3,812.0,110.0,3,2.617997695741415,3,3.5603559296903007,6.51168695876505,3,0.8980101281711254,0.2376984126984126,3.8885310307050895,3988.72,0.224,1.0,1.0
133,133,2019-01-07,5,3,3535.0,191.33333333333331,3,4.249969140967703,3,5.60675269061506,9.856721831582766,3,2.065731990421946,0.35,3.247546314269089,3994.96,-2.618,0.0,1.0
134,134,2019-01-07,6,1,22.0,5.0,1,1.6094379124341005,1,3.091042453358316,4.700480365792417,1,-0.4700480365792416,0.6,0.0,3990.78,1.3,1.0,1.0
135,135,2019-01-07,7,5,57348.4,5888.8,5,3.4620075956853484,5,4.621147766726495,8.083155362411842,5,-0.166483326945436,0.2533333333333333,0.0,4001.0,2.76,1.0,1.0
136,136,2019-01-07,8,1,39.0,22.0,1,3.091042453358316,1,3.6635616461296463,6.754604099487962,1,0.3377302049743981,0.2,-2.974727645414499,4007.7,3.088,1.0,1.0
137,137,2019-01-07,9,3,43.333333333333336,18.0,3,2.710510236868084,3,3.623921113158744,6.667764683360162,3,0.0,0.0,-0.6210119177700224,3957.01,-6.342,0.0,1.0
138,138,2019-01-07,10,5,128.4,48.8,5,3.192321114039726,5,3.939334881356389,7.331655995396114,5,-0.3686271054076316,0.2609090909090909,-0.541499897619259,3959.35,-7.122,0.0,1.0
139,139,2019-01-07,11,4,48.75,17.25,4,2.677490854600769,4,3.736695907217983,6.664186761818752,4,-0.8003949024257946,0.1791666666666666,-0.5829373711456574,3976.76,-2.804,0.0,1.0
140,140,2019-01-07,12,7,131.14285714285714,53.142857142857146,7,2.1451805980426872,7,3.2420078357479616,6.387188433790649,7,0.9575459297524622,0.3893398268398268,0.8245834329025795,3956.87,-8.826,0.0,1.0
141,141,2019-01-07,13,2,49.0,21.0,2,3.039966597547795,2,3.884266650463017,8.424233248010811,2,3.852819547430001,0.5,2.788204735642789,3980.26,-5.488,0.0,1.0
142,142,2019-01-07,14,2,44.0,23.0,2,2.661504989569204,2,3.524627420627918,7.186132410197122,2,0.8990238185720364,0.3,-0.5113752438861032,3985.46,5.69,1.0,1.0
143,143,2019-01-07,15,4,29.5,5.75,4,1.2207004806465926,4,2.450751003489452,4.921451484136044,4,0.1317379877230345,0.1193181818181818,1.579731688514513,3969.91,2.112,1.0,1.0
144,144,2019-01-07,16,7,62.57142857142857,24.714285714285715,7,1.724706697844511,7,3.129084171541244,5.996648012242898,7,0.6531056438816157,0.2666666666666666,-0.4204425453205092,3978.96,0.44,1.0,1.0
