,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean
7204,2019-11-27,12,6,5.833333333333333,2.8333333333333335,6,0.6982757903377376,6,0.9472632945564469,2.8122057515608514,6,-0.05000000000000001,0.3833333333333333,0.018175456817722046
7205,2019-11-27,13,6,12.833333333333334,3.3333333333333335,6,0.9215715145852372,6,1.5958305809273485,3.5174020955125855,6,-0.03333333333333333,0.19999999999999998,0.0
7206,2019-11-27,14,6,31.0,11.666666666666666,6,1.7147916588877956,6,2.4441101645000503,5.158901823387846,6,0.1601596454437134,0.2333333333333333,1.406527672920746
7207,2019-11-27,15,11,2618.3636363636365,73.0,11,2.1683075693129092,11,3.384846772464876,6.644063432686877,11,-0.4796699777021587,0.3090909090909091,0.25746421367472944
7208,2019-11-27,16,7,38615.42857142857,3931.0,7,3.3068826251577166,7,5.014810731733126,9.321693356890844,7,0.4094914515545383,0.14285714285714285,0.5299911524798201
7209,2019-11-27,17,7,163.0,21.714285714285715,7,2.4508756523914994,7,3.8058367940930724,7.256712446484572,7,1.5547298936735208,0.3677200577200577,1.1089714596258566
7210,2019-11-27,18,11,228.9090909090909,27.636363636363637,11,1.25943007007127,11,2.136378080207459,4.48671724118782,11,0.175600366697876,0.48932998819362455,0.787518304571767
7211,2019-11-27,19,16,905.9375,193.6875,16,2.445617159903714,16,3.815781041266573,7.261398201170287,16,-0.0060291575322865415,0.23454335016835015,0.2740768098654431
7212,2019-11-27,20,4,3664.0,342.25,4,4.042989660212118,4,5.931248239858076,10.974237900070193,4,3.1438932509866504,0.328125,4.177573766493944
7213,2019-11-27,21,3,322.0,31.0,3,2.0858891959608794,3,3.7005981117451454,7.119820641039358,3,2.079440048307857,0.2333333333333333,2.3745111014252656
7214,2019-11-27,22,5,53.4,17.8,5,2.149054046447044,5,3.186336828339945,6.33539087478699,5,-0.18424541307990278,0.2644444444444444,-0.8378236239126171
7215,2019-11-27,23,4,29.5,3.75,4,0.9729550745276566,4,2.74338222105405,4.716337295581707,4,0.06478384706248574,0.4193181818181818,0.6632085369163483
7216,2019-11-28,0,4,3.5,2.0,4,0.5198603854199589,4,0.6412373393653842,1.4110977247853431,4,0.0,0.15,0.7621116361315154
7217,2019-11-28,1,8,84.5,14.875,8,1.3321691835163474,8,2.678470541607364,4.010639725123712,8,0.0,0.17222222222222222,0.12238268776385718
7218,2019-11-28,2,1,27.0,3.0,1,1.0986122886681098,1,3.295836866004329,4.394449154672439,1,1.7577796618689758,0.8,3.23035957359971
7219,2019-11-28,3,1,18.0,9.0,1,2.1972245773362196,1,2.8903717578961645,6.087596335232384,1,0.0,0.0,-2.848504967129895
7220,2019-11-28,4,2,7.0,0.0,2,0.0,2,1.3195286648076292,1.3195286648076292,2,0.0,0.3,0.0
7221,2019-11-28,5,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.6,0.0
7222,2019-11-28,6,3,22.0,6.333333333333333,3,1.8038820172850132,3,3.0367663392653186,5.173981689883665,3,0.33008291457209515,0.13333333333333333,1.1622778982389528
7223,2019-11-28,7,3,43.666666666666664,7.0,3,1.4769389329477711,3,3.665382945236933,5.1423218781847035,3,0.3856292368970309,0.3181818181818182,0.0
7224,2019-11-28,8,5,17.6,3.0,5,0.7977968093128549,5,2.3494603385795103,3.1472571478923648,5,0.0,0.0,0.09530934598588466
7225,2019-11-28,9,5,49.8,26.6,5,1.4403832635063254,5,1.6930114873991418,3.333394750905467,5,0.0,0.15,-0.7201409843171399
7226,2019-11-28,10,5,33.2,4.2,5,1.1325920960271891,5,2.2880709544270785,3.420663050454267,5,0.15119946956154004,0.09291666666666666,-0.03310707807537481
7227,2019-11-28,11,7,86.57142857142857,21.428571428571427,7,2.1845730267100447,7,3.9603860230835197,6.144959049793564,7,-0.7641649116035275,0.3773809523809524,-1.4163159039003577
7228,2019-11-28,12,3,108.66666666666667,32.666666666666664,3,2.975992487000667,3,4.3261335413215205,8.968792694988855,3,0.39458817058845436,0.2903030303030303,2.9942749819779686
7229,2019-11-28,13,3,39.666666666666664,13.666666666666666,3,1.9657179558789135,3,2.704275826250458,5.669993782129372,3,-0.32375130509266187,0.43333333333333335,1.5699418689156468
7230,2019-11-28,14,9,35.111111111111114,12.333333333333334,9,1.9757357409616836,9,2.888940802204272,5.864676543165956,9,-0.3619325176746716,0.4722222222222222,-1.633968332611306
7231,2019-11-28,15,3,19.666666666666668,7.333333333333333,3,1.0148408125744743,3,2.0648017970348906,4.4129759429426985,3,-0.05535056728662698,0.35666666666666663,-1.3457323555012897
7232,2019-11-28,16,2,92.5,34.0,2,3.1815140517702325,2,4.208575918618005,8.390089970388239,2,0.0,0.0,-0.7745057340791389
7233,2019-11-28,17,2,0.0,0.0,2,0.0,2,0.0,1.0,2,0.125,0.16666666666666666,0.0
7234,2019-11-28,18,2,7.0,6.5,2,1.545521226679158,2,1.7482537807332403,4.793775007412398,2,-1.116703787691222,0.5,-0.11827126329232907
7235,2019-11-28,19,3,3.0,0.6666666666666666,3,0.0,3,0.6931471805599453,1.6931471805599454,3,-0.16666666666666666,0.09999999999999996,0.0
7236,2019-11-28,20,1,28.0,9.0,1,2.1972245773362196,1,3.332204510175204,6.529429087511423,1,-0.6529429087511424,0.6,0.0
7237,2019-11-28,21,4,872.0,109.0,4,2.9072768048149094,4,4.401423547979591,8.3087003527945,4,-0.451697264900207,0.44999999999999996,1.6249446704999673
7238,2019-11-28,23,1,20.0,13.0,1,2.5649493574615367,1,2.995732273553991,7.560681631015528,1,1.031002040593026,0.4545454545454545,-2.237961762780596
7239,2019-11-29,0,3,231.33333333333334,31.666666666666668,3,1.517958963866847,3,2.410911045392538,3.9288700092593847,3,0.16173434213065388,0.43333333333333335,0.13849080667587707
7240,2019-11-29,2,1,15.0,7.0,1,1.9459101490553132,1,2.70805020110221,5.653960350157524,1,0.0,0.0,-2.2623465190535583
7241,2019-11-29,3,2,3.0,0.5,2,0.0,2,0.8958797346140275,0.8958797346140275,2,0.0,0.25,0.0
7242,2019-11-29,5,2,28.5,5.5,2,1.4451858789480825,2,3.076366347352052,4.521552226300134,2,-0.3023686089523139,0.3,0.0
7243,2019-11-29,6,4,4.75,1.0,4,0.34657359027997264,4,0.7361097447916101,1.0826833350715828,4,0.0,0.44999999999999996,0.0
7244,2019-11-29,7,1,15.0,10.0,1,2.302585092994046,1,2.70805020110221,6.0106352940962555,1,0.0,0.0,0.0
7245,2019-11-29,8,2,6043.5,190.5,2,4.792123005588291,2,7.036520811427775,11.828643817016065,2,0.0,0.0,0.540373205940338
7246,2019-11-29,9,4,402.0,164.5,4,2.6397332164780156,4,3.718128260467779,6.357861476945795,4,0.3872553612855786,0.3109848484848485,0.6856516847481967
7247,2019-11-29,10,3,45.0,19.333333333333332,3,2.0826809581694765,3,3.3714655220606655,5.787479813563475,3,-0.2079296834348137,0.39999999999999997,-3.441961075386695
7248,2019-11-29,11,1,1504.0,366.0,1,5.902633333401366,1,7.315883504509785,13.218516837911151,1,2.832539322409531,0.6428571428571429,5.3125219171564915
7249,2019-11-29,12,6,55.333333333333336,22.166666666666668,6,1.829907525106572,6,2.3840195943806077,5.21392711948718,6,0.37093058088217906,0.43333333333333335,-0.9608553755035908
7250,2019-11-29,13,7,8.0,3.0,7,0.7829484176202844,7,1.2303576244600802,3.156163184937508,7,0.22311565215654738,0.40714285714285714,0.8392396213635299
7251,2019-11-29,14,2,7.0,2.0,2,0.6931471805599453,2,1.3195286648076292,3.0126758453675744,2,-0.05,0.3,0.0
7252,2019-11-29,15,6,81.0,14.5,6,1.9929352143719459,6,3.237112366149901,6.230047580521846,6,0.8397756488730717,0.14166666666666666,2.567298609734032
7253,2019-11-29,16,3,36.333333333333336,13.333333333333334,3,2.1930837373367003,3,3.3938452896732074,6.586929027009909,3,0.0,0.0,0.4036495220646872
7254,2019-11-29,17,7,90.85714285714286,30.285714285714285,7,2.647612411795869,7,3.6523226550386028,7.585649352548757,7,-0.055829756259556156,0.15714285714285717,0.4890740995716971
7255,2019-11-29,18,1,0.0,0.0,1,0.0,1,0.0,1.0,1,0.0,0.0,0.0
7256,2019-11-29,19,6,15.833333333333334,3.1666666666666665,6,0.8958797346140276,6,1.7147916588877956,3.610671393501823,6,-0.327733806016849,0.39999999999999997,0.0
7257,2019-11-29,20,3,17.666666666666668,4.666666666666667,3,1.2972734327035422,3,2.153822725451239,4.7844294914881145,3,0.0,0.0,0.09866666666666667
7258,2019-11-29,21,1,0.0,0.0,1,0.0,1,0.0,1.0,1,-0.1,0.6,0.0
7259,2019-11-29,22,3,168.33333333333334,58.333333333333336,3,2.9728388001190225,3,4.730766125061857,8.703604925180878,3,1.0414089887860876,0.3119047619047619,-0.20981210806076925
7260,2019-11-30,0,8,1.25,0.25,8,0.0,8,0.2878231366242557,0.2878231366242557,8,0.061195490163772584,0.3139309764309764,0.12813137580365982
7261,2019-11-30,2,1,1184.0,134.0,1,4.897839799950911,1,7.076653815443951,11.974493615394863,1,0.0,0.4,0.0
7262,2019-11-30,4,1,29.0,13.0,1,2.5649493574615367,1,3.367295829986474,6.932245187448011,1,-0.3466122593724006,0.0,-2.3569633637323237
7263,2019-11-30,5,3,2.0,0.0,3,0.0,3,0.6931471805599453,0.6931471805599453,3,0.10397207708399177,0.49444444444444446,0.05762344237839017
7264,2019-11-30,7,2,28.0,3.5,2,0.9729550745276566,2,2.012675845367575,2.9856309198952315,2,-0.2985630919895232,0.6,0.0
7265,2019-11-30,8,1,1.0,1.0,1,0.0,1,0.0,0.0,1,0.0,0.6,0.0
7266,2019-11-30,9,3,36.0,12.333333333333334,3,1.7823691769058227,3,2.563428673558923,4.679131183798079,3,-0.34676372305886893,0.22222222222222218,-0.762601086828067
7267,2019-11-30,10,4,44.25,5.5,4,1.4325249457433937,4,3.6381791820794374,5.070704127822831,4,-0.3821147095524298,0.4875,-1.6520102266568708
7268,2019-11-30,11,1,2.0,0.0,1,0.0,1,0.6931471805599453,0.6931471805599453,1,0.0,0.0,0.3052620183185999
7269,2019-11-30,12,1,54.0,14.0,1,2.6390573296152584,1,3.9889840465642745,7.628041376179533,1,-0.7628041376179534,0.6,0.0
7270,2019-11-30,15,1,722.0,101.0,1,4.61512051684126,1,6.582025138892826,12.197145655734086,1,0.0,0.0,4.902032839039529
7271,2019-11-30,16,4,39.75,6.0,4,1.235410605652326,4,2.1170007368063666,4.6024113424586925,4,0.9826382586200941,0.49931818181818177,1.5522543371555801
7272,2019-11-30,18,3,5.666666666666667,0.3333333333333333,3,0.0,3,1.3647815207407001,2.6981148540740336,3,0.26745315936950836,0.3111111111111111,0.0
7273,2019-11-30,19,2,41.0,5.0,2,1.151292546497023,2,2.2033596236321267,4.35465217012915,2,-0.385465217012915,0.3,0.0
7274,2019-11-30,20,3,28.666666666666668,3.6666666666666665,3,0.963457252632055,3,2.8357142851875783,5.1325048711529675,3,-0.5462958318488745,0.38888888888888884,0.383955197941271
7275,2019-11-30,21,2,5.0,0.0,2,0.0,2,1.5890269151739727,2.5890269151739727,2,-0.19885786342665748,0.0333333333333333,0.3329879055409977
7276,2019-11-30,22,2,83.5,23.0,2,3.131699131295812,2,4.367440946023741,8.999140077319554,2,-0.4377026319517879,0.3,0.0
7277,2019-12-01,0,3,309.0,59.666666666666664,3,1.7291286019469183,3,2.50764697269079,4.236775574637709,3,0.0,0.0,0.07351981095139153
7278,2019-12-01,1,1,28.0,14.0,1,2.6390573296152584,1,3.332204510175204,6.971261839790462,1,0.0,0.0,0.0
7279,2019-12-01,3,4,938.25,80.75,4,1.444413080805664,4,2.403818001119551,3.8482310819252152,4,-0.4828249646829277,0.2921875,-1.6713117267037891
7280,2019-12-01,4,2,608.5,34.0,2,3.1373810106209694,2,4.865815522794969,8.503196533415938,2,0.0,0.0,0.0
7281,2019-12-01,5,4,1811.25,100.0,4,4.1397803783759155,4,6.683345997840554,10.823126376216472,4,-0.7430205251186808,0.25,1.9461661796435439
7282,2019-12-01,6,3,4217.666666666667,161.0,3,3.954989566360773,3,6.881421834381917,10.836411400742689,3,1.398277084638501,0.4537037037037037,1.6785575566170217
7283,2019-12-01,7,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.6,0.0
7284,2019-12-01,8,2,190401.5,9740.0,2,6.089607595680146,2,8.281750926854173,14.371358522534319,2,-0.3008078579849177,0.3,4.285016715297873
7285,2019-12-01,9,1,106992.0,2236.0,1,7.71244383427499,1,11.580509344293759,19.292953178568748,1,0.0,0.0,0.0
7286,2019-12-01,12,2,1.5,0.0,2,0.0,2,0.34657359027997264,1.3465735902799727,2,0.0,0.0,0.0
7287,2019-12-01,14,3,28.333333333333332,7.333333333333333,3,1.9227736652645906,3,3.2455747782193423,6.501681776817267,3,-1.003926868443418,0.5333333333333333,0.4771025542739344
7288,2019-12-01,15,1,8.0,0.0,1,0.0,1,2.0794415416798357,3.0794415416798357,1,0.6158883083359672,0.3,1.5209361774356709
7289,2019-12-01,16,20,68.4,11.45,20,1.4322523752438718,20,2.9949538022508357,5.427206177494708,20,0.7811018877749839,0.36290277777777774,0.32630067943693586
7290,2019-12-01,17,3,14.0,5.0,3,0.9026834003674034,3,1.8979107129342332,4.13392744663497,3,-0.011130384879609623,0.27777777777777773,0.0
7291,2019-12-01,18,7,11.714285714285714,2.2857142857142856,7,0.49950108020949724,7,1.5829344667872571,3.0824355469967544,7,0.3738636552616071,0.22380952380952382,0.8333801414055017
