,Unnamed: 0,Unnamed: 0.1,date2,hour,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent_hourly mean,Close,price dir,movement,month
55,55,55,2019-01-03,12,9.512448521287796,6,0.7205793904903351,0.15,4.532887754007855,3818.02,-2.172,0.0,1.0
56,56,56,2019-01-03,14,8.01830898415618,6,0.7646047971583793,0.3693980622552051,1.6896212783281117,3796.7,-1.822,0.0,1.0
57,57,57,2019-01-03,15,4.163697448284713,8,-0.18516792623601,0.0814393939393939,0.2403827376534757,3806.7,-0.964,0.0,1.0
58,58,58,2019-01-03,16,5.214413064873525,6,-0.1049518961871303,0.2916666666666667,-0.2725774049612857,3738.0,-13.2,0.0,1.0
59,59,59,2019-01-03,17,5.770271431374811,7,0.397058823467385,0.4309523809523809,1.2181539499630194,3748.46,-13.912,0.0,1.0
60,60,60,2019-01-03,18,10.386941064301103,5,0.2987844558710383,0.295,2.0686123679464146,3757.89,-11.894,0.0,1.0
61,61,61,2019-01-03,19,6.14842831984795,4,0.8935585369897059,0.0375,2.386386299990687,3756.0,-8.14,0.0,1.0
62,62,62,2019-01-03,20,5.456522760293111,9,0.3548945166410753,0.2981481481481481,-0.0236590815453862,3780.03,-5.334,0.0,1.0
63,63,63,2019-01-03,21,4.379713331937988,5,0.4249718215680558,0.5258585858585858,1.7107622826205258,3771.26,6.652,1.0,1.0
64,64,64,2019-01-03,22,10.563305400096516,5,0.2765485887162918,0.0399999999999999,-0.0585263173321167,3773.79,5.066,1.0,1.0
65,65,65,2019-01-03,23,20.3571372244125,3,1.845796877095846,0.1111111111111111,-5.56897594323496,3766.78,1.778,1.0,1.0
66,66,66,2019-01-04,0,8.834286675962971,4,0.0,0.0708333333333333,1.0705018330546308,3750.3,-1.14,0.0,1.0
67,67,67,2019-01-04,1,0.0,2,0.0,0.75,0.0,3766.23,-2.76,0.0,1.0
68,68,68,2019-01-04,2,5.353005873985248,2,0.6964259592767532,0.2083333333333333,-0.4577468545134244,3758.65,-2.522,0.0,1.0
69,69,69,2019-01-04,3,5.19072967571552,2,-0.5190729675715521,0.6,0.0,3780.04,1.25,1.0,1.0
70,70,70,2019-01-04,4,7.498444790088179,5,-0.4060491994531633,0.1944444444444444,1.593348141286858,3775.33,1.71,1.0,1.0
71,71,71,2019-01-04,5,4.334988666508521,5,-0.3550902701859273,0.5,2.0906240931385085,3779.9,5.92,1.0,1.0
72,72,72,2019-01-04,6,6.501249087771811,2,0.3505516814217819,0.8,2.9314820709878617,3783.02,3.358,1.0,1.0
73,73,73,2019-01-04,7,3.688879454113936,1,-0.3688879454113936,0.6,0.0,3783.28,4.926,1.0,1.0
74,74,74,2019-01-04,9,6.616771097666572,1,0.0,0.0,-4.134820258931841,3764.35,-2.196,0.0,1.0
75,75,75,2019-01-04,10,6.399301305022087,4,1.3206343190707743,0.2229166666666666,2.160600630885579,3775.48,-0.884,0.0,1.0
76,76,76,2019-01-04,11,9.664750755773852,1,0.0,0.325,4.028268115006542,3757.55,-5.094,0.0,1.0
77,77,77,2019-01-04,12,3.598256603130647,8,-0.0329166666666666,0.1195833333333333,-0.6564289240914771,3755.52,-5.552,0.0,1.0
78,78,78,2019-01-04,13,4.885888236980414,7,-0.3700324058858137,0.5142857142857142,0.0,3744.0,-5.468,0.0,1.0
79,79,79,2019-01-04,14,7.370683478688868,2,0.0,0.0,-1.0481210352193413,3717.14,-9.442,0.0,1.0
80,80,80,2019-01-04,15,6.3117787476771925,3,-0.0069444444444444,0.1458333333333333,0.0,3725.28,-10.04,0.0,1.0
81,81,81,2019-01-04,16,7.1412903643821455,8,-0.3203783480042886,0.1752840909090909,-0.9930870682495834,3747.5,-2.01,0.0,1.0
82,82,82,2019-01-04,17,6.03882546081431,2,0.0,0.0,0.0,3745.22,-2.06,0.0,1.0
83,83,83,2019-01-04,18,8.18405234874655,3,0.7647357808520411,0.375,-1.600226842979841,3730.0,-2.8,0.0,1.0
84,84,84,2019-01-04,19,8.906990831796405,7,0.4445754876804746,0.222077922077922,0.3203362715595598,3739.53,4.478,1.0,1.0
85,85,85,2019-01-04,20,9.217789151749647,10,0.1075933937781972,0.1904545454545454,0.3268126156849141,3764.24,7.792,1.0,1.0
86,86,86,2019-01-04,21,5.715828388726036,3,1.1899807587043758,0.1666666666666666,0.3168201614527335,3802.36,10.972,1.0,1.0
87,87,87,2019-01-04,22,6.067834491906582,3,-0.1005191677875173,0.3535353535353535,0.0,3790.98,9.152,1.0,1.0
88,88,88,2019-01-04,23,6.733376620372872,8,-0.2056214666270913,0.1684027777777778,-0.385614508505235,3792.01,12.402,1.0,1.0
96,96,96,2019-01-05,8,12.084808558037135,1,0.0,0.0,0.0,3793.56,-4.288,0.0,1.0
97,97,97,2019-01-05,9,4.655610424463448,12,-0.5582987438386849,0.5333333333333333,0.55829439952585,3790.36,-5.072,0.0,1.0
98,98,98,2019-01-05,10,7.499966751522747,2,-0.2484906649788,0.3,3.5770679819851567,3787.94,-9.214,0.0,1.0
99,99,99,2019-01-05,11,1.039720770839918,2,0.0,0.2375,0.7559017145934656,3801.26,0.362,1.0,1.0
100,100,100,2019-01-05,12,5.058954471191577,2,0.0,0.0,0.918541396830654,3802.47,3.464,1.0,1.0
101,101,101,2019-01-05,13,8.364693551203548,4,1.2552629989963255,0.4375,0.9174126263672616,3793.84,0.056,1.0,1.0
102,102,102,2019-01-05,14,7.419049531813056,3,-0.1527839646152037,0.1999999999999999,0.5819016156075697,3787.45,-0.582,0.0,1.0
103,103,103,2019-01-05,15,13.80544172486295,10,2.5819617133774697,0.353125,1.3891116023761982,3785.58,-0.472,0.0,1.0
104,104,104,2019-01-05,16,5.890445056551181,4,-0.1908697400792312,0.3,-0.883696326514383,3797.19,-0.814,0.0,1.0
105,105,105,2019-01-05,18,10.484880212266244,2,0.0,0.0,0.0,3809.02,3.036,1.0,1.0
106,106,106,2019-01-05,19,3.516518474750896,6,0.0619079219213543,0.3,0.7048814255908621,3810.98,4.706,1.0,1.0
107,107,107,2019-01-05,20,13.987915940812064,2,0.0,0.0,1.6866069425701051,3803.68,3.62,1.0,1.0
108,108,108,2019-01-05,21,10.51406802284643,1,0.0,0.0,0.0,3806.57,1.876,1.0,1.0
109,109,109,2019-01-05,22,10.41619105400772,2,-0.2128559335023772,0.5125,3.1888059286939074,3786.62,-2.948,0.0,1.0
110,110,110,2019-01-05,23,7.756932389247553,1,1.8099508908244288,0.1666666666666666,4.7318797521900615,3770.96,-7.612,0.0,1.0
111,111,111,2019-01-06,0,7.291569139558319,1,0.0,0.0,-4.556501555309994,3786.76,-4.844,0.0,1.0
112,112,112,2019-01-06,1,3.295150524098343,2,-0.2012675845367574,0.3,0.4071643235178603,3765.65,-7.606,0.0,1.0
113,113,113,2019-01-06,4,7.80239476332431,1,0.0,0.0,-4.231238680150773,3767.9,-0.612,0.0,1.0
114,114,114,2019-01-06,5,12.936327731914002,1,0.0,0.0,0.0,3777.75,-1.802,0.0,1.0
115,115,115,2019-01-06,8,9.166216268592144,1,1.5277027114320234,0.2833333333333333,0.0,3772.88,0.346,1.0,1.0
116,116,116,2019-01-06,9,6.633318433280376,1,1.1055530722133955,0.3333333333333333,0.0,3771.3,0.68,1.0,1.0
117,117,117,2019-01-06,10,10.0488425203955,1,1.7585474410692123,0.3083333333333333,-2.5003530623655017,3796.99,3.848,1.0,1.0
118,118,118,2019-01-06,11,9.837826364007704,1,0.0,0.0,0.0,3814.24,8.404,1.0,1.0
119,119,119,2019-01-06,12,13.235068182371426,1,0.0,0.0,6.247225813918851,3790.81,4.574,1.0,1.0
120,120,120,2019-01-06,13,8.897980369568675,2,0.0,0.0333333333333333,3.82392120390564,3798.61,5.146,1.0,1.0
121,121,121,2019-01-06,15,8.719013154385259,1,2.4522224496708542,0.5,2.3573866173492584,3806.82,1.966,1.0,1.0
122,122,122,2019-01-06,17,5.8293113712273,4,0.671191284174851,0.394047619047619,-0.3781961087072343,4007.11,43.26,1.0,1.0
123,123,123,2019-01-06,18,13.403391192283712,4,1.8567020805284429,0.3126893939393939,1.3870059578509089,3989.09,38.096,1.0,1.0
124,124,124,2019-01-06,19,12.622795863697476,3,0.5127896194512573,0.1799999999999999,-0.4906755671124219,4002.46,40.222,1.0,1.0
125,125,125,2019-01-06,21,4.913757057758129,4,-0.0825646273248511,0.15,0.3160176468666463,3967.49,30.82,1.0,1.0
126,126,126,2019-01-06,22,4.22101639457961,4,-0.3451156009159651,0.4499999999999999,0.0,3970.36,-7.35,0.0,1.0
127,127,127,2019-01-06,23,8.770803458560872,3,0.3938021756443133,0.3515151515151515,2.056871881324445,3987.6,-0.298,0.0,1.0
128,128,128,2019-01-07,0,9.873646710525108,2,0.0,0.0,0.0,4008.05,1.118,1.0,1.0
129,129,129,2019-01-07,1,9.500902707349391,7,1.8163071395287824,0.3220779220779221,1.58995278950477,3984.28,1.424,1.0,1.0
130,130,130,2019-01-07,2,5.085513272108482,4,-0.0575646273248511,0.3,0.0,3987.2,3.942,1.0,1.0
131,131,131,2019-01-07,3,10.258431195838105,5,3.165236155474765,0.254,2.2280581937063606,3992.26,4.38,1.0,1.0
132,132,132,2019-01-07,4,6.51168695876505,3,0.8980101281711254,0.2376984126984126,3.8885310307050895,3988.72,0.224,1.0,1.0
133,133,133,2019-01-07,5,9.856721831582766,3,2.065731990421946,0.35,3.247546314269089,3994.96,-2.618,0.0,1.0
134,134,134,2019-01-07,6,4.700480365792417,1,-0.4700480365792416,0.6,0.0,3990.78,1.3,1.0,1.0
135,135,135,2019-01-07,7,8.083155362411842,5,-0.166483326945436,0.2533333333333333,0.0,4001.0,2.76,1.0,1.0
136,136,136,2019-01-07,8,6.754604099487962,1,0.3377302049743981,0.2,-2.974727645414499,4007.7,3.088,1.0,1.0
137,137,137,2019-01-07,9,6.667764683360162,3,0.0,0.0,-0.6210119177700224,3957.01,-6.342,0.0,1.0
138,138,138,2019-01-07,10,7.331655995396114,5,-0.3686271054076316,0.2609090909090909,-0.541499897619259,3959.35,-7.122,0.0,1.0
139,139,139,2019-01-07,11,6.664186761818752,4,-0.8003949024257946,0.1791666666666666,-0.5829373711456574,3976.76,-2.804,0.0,1.0
140,140,140,2019-01-07,12,6.387188433790649,7,0.9575459297524622,0.3893398268398268,0.8245834329025795,3956.87,-8.826,0.0,1.0
141,141,141,2019-01-07,13,8.424233248010811,2,3.852819547430001,0.5,2.788204735642789,3980.26,-5.488,0.0,1.0
142,142,142,2019-01-07,14,7.186132410197122,2,0.8990238185720364,0.3,-0.5113752438861032,3985.46,5.69,1.0,1.0
143,143,143,2019-01-07,15,4.921451484136044,4,0.1317379877230345,0.1193181818181818,1.579731688514513,3969.91,2.112,1.0,1.0
144,144,144,2019-01-07,16,5.996648012242898,7,0.6531056438816157,0.2666666666666666,-0.4204425453205092,3978.96,0.44,1.0,1.0
145,145,145,2019-01-07,17,5.339966712213656,6,0.2816604605252162,0.1111111111111111,2.0664733767459573,3979.34,4.494,1.0,1.0
146,146,146,2019-01-07,18,5.78944619983716,8,1.059080543343685,0.4104166666666666,1.5761417149144332,3977.89,-0.474,0.0,1.0
147,147,147,2019-01-07,19,3.3104947674620604,5,0.8629023138388204,0.2397979797979798,0.9885897782465868,3988.52,0.612,1.0,1.0
148,148,148,2019-01-07,20,5.021314337309128,9,0.4434840388437409,0.369023569023569,-0.6783382579527596,3970.96,0.21,1.0,1.0
149,149,149,2019-01-07,21,8.240325488196522,7,1.9520454966920604,0.3357142857142857,2.499236450099422,3971.98,-1.396,0.0,1.0
150,150,150,2019-01-07,22,5.681262395222172,5,-0.6270513124418562,0.29,0.5558174550653316,3964.81,-2.906,0.0,1.0
151,151,151,2019-01-07,23,3.97270345132704,4,-0.3376129861047067,0.4499999999999999,0.1323217967688935,3975.45,-0.488,0.0,1.0
152,152,152,2019-01-08,0,7.2766434893416445,1,0.0,0.0,0.0,3981.12,-1.48,0.0,1.0
153,153,153,2019-01-08,1,2.470821211304652,2,0.0,0.05,0.0,3961.03,-1.986,0.0,1.0
154,154,154,2019-01-08,2,6.266658287139525,4,0.1691042149659043,0.2916666666666666,-1.9622772360817389,3949.16,-4.564,0.0,1.0
